generation1, best fitness: 0.0920067840397656
generation2, best fitness: 0.2363165297324532
generation3, best fitness: 0.2517532549672358
generation4, best fitness: 0.30135402298786995
generation5, best fitness: 0.2538563105945044
generation6, best fitness: 0.3562506112193752
generation7, best fitness: 0.40131365259854035
generation8, best fitness: 0.36326796558466967
generation9, best fitness: 0.3315648674517353
